BP_RS03495	lptA
BP_RS03500	lptC
BP_RS03505	BP_RS03505
BP_RS03510	BP_RS03510
BP_RS03515	purT
BP_RS03520	BP_RS03520
BP_RS03525	BP_RS03525
BP_RS03535	BP_RS03535
BP_RS03540	BP_RS03540
BP_RS03545	BP_RS03545
BP_RS03550	aspS
BP_RS03555	BP_RS03555
BP_RS03560	clsB
BP_RS03565	BP_RS03565
BP_RS03575	BP_RS03575
BP_RS03580	BP_RS03580
BP_RS03585	BP_RS03585
BP_RS03590	BP_RS03590
BP_RS03595	BP_RS03595
BP_RS03600	BP_RS03600
BP_RS03605	BP_RS03605
BP_RS03610	BP_RS03610
BP_RS03615	BP_RS03615
BP_RS03620	BP_RS03620
BP_RS03625	BP_RS03625
BP_RS03630	BP_RS03630
BP_RS03635	BP_RS03635
BP_RS03640	nspC
BP_RS03645	BP_RS03645
BP_RS03650	BP_RS03650
BP_RS03655	BP_RS03655
BP_RS03660	BP_RS03660
BP_RS03665	BP_RS03665
BP_RS03670	BP_RS03670
BP_RS03675	BP_RS03675
BP_RS03680	BP_RS03680
BP_RS03685	BP_RS03685
BP_RS03695	BP_RS03695
BP_RS03700	BP_RS03700
BP_RS03705	proB
BP_RS03710	obgE
BP_RS03715	rpmA
BP_RS03720	rplU
BP_RS03725	BP_RS03725
BP_RS03730	ispB
BP_RS03735	BP_RS03735
BP_RS03740	BP_RS03740
BP_RS03745	BP_RS03745
BP_RS03750	BP_RS03750
BP_RS03755	BP_RS03755
BP_RS19570	BP_RS19570
BP_RS03770	BP_RS03770
BP_RS03775	cyaC
	
BP_RS03785	cyaA
BP_RS03790	cyaB
BP_RS03795	cyaD
BP_RS03800	cyaE
BP_RS03805	BP_RS03805
BP_RS03810	BP_RS03810
BP_RS03820	BP_RS03820
BP_RS03825	BP_RS03825
BP_RS03830	BP_RS03830
BP_RS03835	BP_RS03835
BP_RS03840	BP_RS03840
BP_RS03845	BP_RS03845
BP_RS03850	BP_RS03850
BP_RS03855	BP_RS03855
BP_RS03860	BP_RS03860
BP_RS03865	BP_RS03865
BP_RS03870	BP_RS03870
BP_RS03875	BP_RS03875
BP_RS03880	BP_RS03880
BP_RS03885	BP_RS03885
BP_RS03890	BP_RS03890
BP_RS03895	BP_RS03895
BP_RS03900	BP_RS03900
BP_RS03905	BP_RS03905
BP_RS03910	BP_RS03910
BP_RS03915	BP_RS03915
BP_RS03925	BP_RS03925
BP_RS03930	ilvN
BP_RS03935	ilvC
BP_RS03940	pssA
BP_RS03945	BP_RS03945
BP_RS03955	rpsO
BP_RS03960	pnp
BP_RS03965	BP_RS03965
BP_RS03970	BP_RS03970
BP_RS03975	BP_RS03975
BP_RS03980	BP_RS03980
BP_RS03985	BP_RS03985
BP_RS03990	BP_RS03990
BP_RS03995	tpiA
BP_RS04000	secG
BP_RS04005	BP_RS04005
BP_RS04010	betT
BP_RS04015	BP_RS04015
BP_RS04020	BP_RS04020
BP_RS04025	BP_RS04025
BP_RS04030	BP_RS04030
	
BP_RS04035	BP_RS04035
BP_RS04040	BP_RS04040
BP_RS04045	BP_RS04045
BP_RS04050	BP_RS04050
BP_RS04055	BP_RS04055
BP_RS04060	metC
BP_RS04065	BP_RS04065
BP_RS04070	BP_RS04070
BP_RS04075	BP_RS04075
BP_RS04080	BP_RS04080
BP_RS04085	BP_RS04085
BP_RS04090	BP_RS04090
BP_RS04095	BP_RS04095
BP_RS04100	BP_RS04100
BP_RS04105	azu
BP_RS04110	BP_RS04110
BP_RS04115	BP_RS04115
BP_RS04120	BP_RS04120
BP_RS04125	BP_RS04125
BP_RS04130	BP_RS04130
BP_RS04135	BP_RS04135
BP_RS04140	betT
BP_RS04155	BP_RS04155
BP_RS04160	BP_RS04160
BP_RS04165	BP_RS04165
BP_RS04170	BP_RS04170
BP_RS04175	BP_RS04175
BP_RS04180	BP_RS04180
BP_RS04185	BP_RS04185
BP_RS04190	BP_RS04190
BP_RS04195	BP_RS04195
BP_RS04200	BP_RS04200
BP_RS04205	BP_RS04205
BP_RS04210	nuoE
BP_RS04215	nuoF
BP_RS04220	nuoG
BP_RS04225	nuoH
BP_RS04230	nuoI
BP_RS04235	BP_RS04235
BP_RS04240	nuoK
BP_RS04245	nuoL
BP_RS04250	BP_RS04250
BP_RS04255	nuoN
BP_RS04260	BP_RS04260
BP_RS04265	BP_RS04265
BP_RS04270	BP_RS04270
BP_RS04275	BP_RS04275
BP_RS04280	BP_RS04280
BP_RS04285	BP_RS04285
BP_RS04290	BP_RS04290
BP_RS04295	BP_RS04295
BP_RS04300	serB
BP_RS04305	mfd
BP_RS04310	ispD
BP_RS04315	ispF
BP_RS04325	BP_RS04325
BP_RS04330	BP_RS04330
BP_RS04335	pepN
BP_RS04340	BP_RS04340
BP_RS04345	BP_RS04345
BP_RS04350	BP_RS04350
BP_RS04355	BP_RS04355
BP_RS19500	BP_RS19500
BP_RS19505	BP_RS19505
BP_RS04360	BP_RS04360
BP_RS04365	BP_RS04365
BP_RS04370	BP_RS04370
BP_RS04380	BP_RS04380
BP_RS04385	BP_RS04385
	
BP_RS04390	BP_RS04390
BP_RS04395	accB
BP_RS04400	BP_RS04400
BP_RS04405	BP_RS04405
BP_RS04410	BP_RS04410
BP_RS04415	BP_RS04415
BP_RS04420	BP_RS04420
BP_RS04425	accC
BP_RS04430	BP_RS04430
BP_RS04435	BP_RS04435
BP_RS04440	BP_RS04440
BP_RS04445	BP_RS04445
BP_RS04450	BP_RS04450
BP_RS19745	BP_RS19745
BP_RS04460	BP_RS04460
BP_RS04465	BP_RS04465
BP_RS04470	BP_RS04470
BP_RS04475	BP_RS04475
BP_RS04480	BP_RS04480
BP_RS04485	BP_RS04485
BP_RS04490	BP_RS04490
BP_RS04495	BP_RS04495
BP_RS04500	BP_RS04500
BP_RS04505	BP_RS04505
BP_RS04510	BP_RS04510
BP_RS04515	BP_RS04515
BP_RS04520	dinB
BP_RS04525	BP_RS04525
BP_RS04530	BP_RS04530
	
BP_RS04540	BP_RS04540
BP_RS04545	BP_RS04545
BP_RS04550	BP_RS04550
BP_RS04560	BP_RS04560
BP_RS04565	BP_RS04565
BP_RS04570	tcuA
BP_RS04575	tcuB
BP_RS04580	BP_RS04580
BP_RS04585	BP_RS04585
BP_RS04590	BP_RS04590
BP_RS04595	BP_RS04595
BP_RS04600	BP_RS04600
BP_RS04605	BP_RS04605
BP_RS04610	BP_RS04610
BP_RS04615	BP_RS04615
BP_RS04620	BP_RS04620
BP_RS04625	BP_RS04625
BP_RS04630	BP_RS04630
BP_RS04640	BP_RS04640
BP_RS04645	BP_RS04645
BP_RS04650	BP_RS04650
BP_RS04655	BP_RS04655
BP_RS04660	BP_RS04660
BP_RS04665	BP_RS04665
BP_RS04670	ssrA
BP_RS04675	BP_RS04675
BP_RS04680	BP_RS04680
BP_RS04685	ubiG
BP_RS04690	BP_RS04690
BP_RS04695	gyrA
BP_RS04700	serC
BP_RS04705	pheA
BP_RS04710	BP_RS04710
BP_RS04715	aroA
BP_RS04720	cmk
BP_RS04725	rpsA
BP_RS04730	BP_RS04730
BP_RS04735	BP_RS04735
BP_RS04740	lapB
BP_RS04745	rfaE1
BP_RS04750	rfaD
BP_RS04755	BP_RS04755
BP_RS04760	BP_RS04760
BP_RS04765	cysM
BP_RS04770	mltB
BP_RS04775	BP_RS04775
BP_RS04780	BP_RS04780
BP_RS04785	BP_RS04785
BP_RS04790	BP_RS04790
BP_RS04795	BP_RS04795
BP_RS04800	BP_RS04800
BP_RS04815	BP_RS04815
BP_RS04825	cysD
BP_RS04835	BP_RS04835
BP_RS04840	BP_RS04840
BP_RS04845	BP_RS04845
BP_RS04850	rplS
BP_RS04855	BP_RS04855
BP_RS04860	BP_RS04860
BP_RS04865	BP_RS04865
BP_RS04875	BP_RS04875
BP_RS04880	BP_RS04880
BP_RS04885	BP_RS04885
BP_RS04895	BP_RS04895
BP_RS04900	BP_RS04900
BP_RS04905	BP_RS04905
BP_RS04910	BP_RS04910
BP_RS04915	BP_RS04915
BP_RS04920	folD
BP_RS04925	BP_RS04925
BP_RS04930	BP_RS04930
BP_RS04935	aceE
BP_RS04940	aceF
BP_RS04945	lpdA
BP_RS04950	BP_RS04950
BP_RS04955	BP_RS04955
BP_RS04960	BP_RS04960
BP_RS04965	tkt
BP_RS04970	gap
BP_RS04975	BP_RS04975
BP_RS04980	fabI
BP_RS04985	BP_RS04985
BP_RS04990	BP_RS04990
BP_RS04995	BP_RS04995
BP_RS05000	yfcF
	
BP_RS05015	BP_RS05015
BP_RS05020	BP_RS05020
BP_RS05025	BP_RS05025
BP_RS05030	BP_RS05030
	
BP_RS05040	BP_RS05040
BP_RS05045	mog
BP_RS05050	BP_RS05050
BP_RS05055	BP_RS05055
